"""cueanexo""|""grado""|""turno""|""subtotal_por_turno"""
"""220004800""|""Sala de 3 años""|""Tarde""|""18"""
"""220004800""|""Sala de 3 años""|NULL|""37"""
"""220004800""|""Sala de 4 años""|""Mañana""|""46"""
"""220004800""|""Sala de 4 años""|""Tarde""|""49"""
"""220004800""|""Sala de 4 años""|NULL|""95"""
"""220004800""|""Sala de 5 años""|""Mañana""|""44"""
"""220004800""|""Sala de 5 años""|""Tarde""|""43"""
"""220004800""|""Sala de 5 años""|NULL|""87"""
"""220005000""|""Sala de 4 años""|""Mañana""|""36"""
"""220005000""|""Sala de 4 años""|""Tarde""|""42"""
"""220005000""|""Sala de 4 años""|NULL|""78"""
"""220005000""|""Sala de 5 años""|""Mañana""|""41"""
"""220005000""|""Sala de 5 años""|""Tarde""|""43"""
"""220005000""|""Sala de 5 años""|NULL|""84"""
"""220005600""|""Sala de 4 años""|""Doble""|""14"""
"""220005600""|""Sala de 4 años""|NULL|""14"""
"""220005600""|""Sala de 5 años""|""Doble""|""8"""
"""220005600""|""Sala de 5 años""|NULL|""8"""
"""220006100""|""Sala de 4 años""|""Mañana""|""44"""
"""220006100""|""Sala de 4 años""|""Tarde""|""57"""
"""220006100""|""Sala de 4 años""|NULL|""101"""
"""220006100""|""Sala de 5 años""|""Mañana""|""67"""
"""220006100""|""Sala de 5 años""|""Tarde""|""49"""
"""220006100""|""Sala de 5 años""|NULL|""116"""
"""220006800""|""Sala de 4 años""|""Mañana""|""20"""
"""220006800""|""Sala de 4 años""|""Tarde""|""41"""
"""220006800""|""Sala de 4 años""|NULL|""61"""
"""220006800""|""Sala de 5 años""|""Mañana""|""64"""
"""220006800""|""Sala de 5 años""|""Tarde""|""38"""
"""220006800""|""Sala de 5 años""|NULL|""102"""
"""220007000""|""Sala de 4 años""|""Mañana""|""47"""
"""220007000""|""Sala de 4 años""|""Tarde""|""52"""
"""220007000""|""Sala de 4 años""|NULL|""99"""
"""220007000""|""Sala de 5 años""|""Mañana""|""52"""
"""220007000""|""Sala de 5 años""|""Tarde""|""49"""
"""220007000""|""Sala de 5 años""|NULL|""101"""
"""220007100""|""Sala de 3 años""|""Mañana""|""1"""
"""220007100""|""Sala de 3 años""|NULL|""1"""
"""220007100""|""Sala de 4 años""|""Mañana""|""8"""
