"""cueanexo""|""grado""|""turno""|""subtotal_por_turno"""
"""220041700""|""Sala de 3 años""|""Mañana""|""3"""
"""220041700""|""Sala de 3 años""|NULL|""3"""
"""220041700""|""Sala de 4 años""|""Mañana""|""3"""
"""220041700""|""Sala de 4 años""|NULL|""3"""
"""220042100""|""Sala de 4 años""|""Mañana""|""21"""
"""220042100""|""Sala de 4 años""|""Tarde""|""42"""
"""220042100""|""Sala de 4 años""|NULL|""63"""
"""220042100""|""Sala de 5 años""|""Mañana""|""67"""
"""220042100""|""Sala de 5 años""|""Tarde""|""46"""
"""220042100""|""Sala de 5 años""|NULL|""113"""
"""220042101""|""Sala de 4 años""|""Mañana""|""23"""
"""220042101""|""Sala de 4 años""|NULL|""23"""
"""220042101""|""Sala de 5 años""|""Mañana""|""23"""
"""220042101""|""Sala de 5 años""|""Tarde""|""19"""
"""220042101""|""Sala de 5 años""|NULL|""42"""
"""220042103""|""Sala de 4 años""|""Tarde""|""22"""
"""220042103""|""Sala de 4 años""|NULL|""22"""
"""220042103""|""Sala de 5 años""|""Mañana""|""23"""
"""220042103""|""Sala de 5 años""|NULL|""23"""
"""220042300""|""Sala de 3 años""|""Mañana""|""1"""
"""220042300""|""Sala de 3 años""|NULL|""1"""
"""220042300""|""Sala de 4 años""|""Mañana""|""2"""
"""220042300""|""Sala de 4 años""|NULL|""2"""
"""220042300""|""Sala de 5 años""|""Mañana""|""3"""
"""220042300""|""Sala de 5 años""|NULL|""3"""
"""220042400""|""Sala de 3 años""|""Mañana""|""5"""
"""220042400""|""Sala de 3 años""|NULL|""5"""
"""220042400""|""Sala de 4 años""|""Mañana""|""4"""
"""220042400""|""Sala de 4 años""|NULL|""4"""
"""220042400""|""Sala de 5 años""|""Mañana""|""2"""
"""220042400""|""Sala de 5 años""|NULL|""2"""
"""220042900""|""Sala de 4 años""|""Mañana""|""24"""
"""220042900""|""Sala de 4 años""|""Tarde""|""41"""
"""220042900""|""Sala de 4 años""|NULL|""65"""
"""220042900""|""Sala de 5 años""|""Mañana""|""46"""
"""220042900""|""Sala de 5 años""|""Tarde""|""24"""
"""220042900""|""Sala de 5 años""|NULL|""70"""
"""220042901""|""Sala de 4 años""|""Mañana""|""5"""
"""220042901""|""Sala de 4 años""|NULL|""5"""
"""220042901""|""Sala de 5 años""|""Mañana""|""3"""
"""220042901""|""Sala de 5 años""|NULL|""3"""
"""220042902""|""Sala de 4 años""|""Mañana""|""3"""
"""220042902""|""Sala de 4 años""|NULL|""3"""
"""220042902""|""Sala de 5 años""|""Mañana""|""4"""
"""220042902""|""Sala de 5 años""|NULL|""4"""
"""220042903""|""Sala de 4 años""|""Mañana""|""14"""
"""220042903""|""Sala de 4 años""|NULL|""14"""
"""220042903""|""Sala de 5 años""|""Mañana""|""15"""
"""220042903""|""Sala de 5 años""|NULL|""15"""
"""220043300""|""Sala de 4 años""|""Mañana""|""43"""
"""220043300""|""Sala de 4 años""|""Tarde""|""63"""
"""220043300""|""Sala de 4 años""|NULL|""106"""
"""220043300""|""Sala de 5 años""|""Mañana""|""59"""
"""220043300""|""Sala de 5 años""|""Tarde""|""44"""
"""220043300""|""Sala de 5 años""|NULL|""103"""
"""220043400""|""Sala de 3 años""|""Mañana""|""17"""
"""220043400""|""Sala de 3 años""|""Tarde""|""14"""
"""220043400""|""Sala de 3 años""|NULL|""31"""
"""220043400""|""Sala de 4 años""|""Mañana""|""42"""
"""220043400""|""Sala de 4 años""|""Tarde""|""38"""
"""220043400""|""Sala de 4 años""|NULL|""80"""
"""220043400""|""Sala de 5 años""|""Mañana""|""59"""
"""220043400""|""Sala de 5 años""|""Tarde""|""53"""
"""220043400""|""Sala de 5 años""|NULL|""112"""
"""220043500""|""Sala de 3 años""|""Mañana""|""12"""
"""220043500""|""Sala de 3 años""|NULL|""12"""
"""220043500""|""Sala de 4 años""|""Mañana""|""44"""
"""220043500""|""Sala de 4 años""|""Tarde""|""42"""
"""220043500""|""Sala de 4 años""|NULL|""86"""
"""220043500""|""Sala de 5 años""|""Mañana""|""36"""
"""220043500""|""Sala de 5 años""|""Tarde""|""44"""
"""220043500""|""Sala de 5 años""|NULL|""80"""
"""220043600""|""Sala de 3 años""|""Mañana""|""1"""
"""220043600""|""Sala de 3 años""|NULL|""1"""
"""220043600""|""Sala de 4 años""|""Mañana""|""1"""
"""220043600""|""Sala de 4 años""|NULL|""1"""
"""220043700""|""Sala de 3 años""|""Mañana""|""1"""
"""220043700""|""Sala de 3 años""|NULL|""1"""
"""220043700""|""Sala de 4 años""|""Mañana""|""2"""
"""220043700""|""Sala de 4 años""|NULL|""2"""
"""220043700""|""Sala de 5 años""|""Mañana""|""3"""
"""220043700""|""Sala de 5 años""|NULL|""3"""
"""220043800""|""Sala de 5 años""|""Mañana""|""1"""
"""220043800""|""Sala de 5 años""|NULL|""1"""
"""220043900""|""Sala de 3 años""|""Doble""|""2"""
"""220043900""|""Sala de 3 años""|NULL|""2"""
"""220043900""|""Sala de 4 años""|""Doble""|""2"""
"""220043900""|""Sala de 4 años""|NULL|""2"""
"""220043900""|""Sala de 5 años""|""Doble""|""5"""
"""220043900""|""Sala de 5 años""|NULL|""5"""
"""220044300""|""Sala de 3 años""|""Mañana""|""14"""
"""220044300""|""Sala de 3 años""|""Tarde""|""17"""
"""220044300""|""Sala de 3 años""|NULL|""31"""
"""220044300""|""Sala de 4 años""|""Mañana""|""17"""
"""220044300""|""Sala de 4 años""|""Tarde""|""8"""
"""220044300""|""Sala de 4 años""|NULL|""25"""
"""220044300""|""Sala de 5 años""|""Mañana""|""21"""
"""220044300""|""Sala de 5 años""|""Tarde""|""34"""
"""220044300""|""Sala de 5 años""|NULL|""55"""
"""220044301""|""Sala de 4 años""|""Mañana""|""13"""
"""220044301""|""Sala de 4 años""|NULL|""13"""
"""220044301""|""Sala de 5 años""|""Mañana""|""7"""
"""220044301""|""Sala de 5 años""|NULL|""7"""
"""220044400""|""Sala de 3 años""|""Mañana""|""2"""
"""220044400""|""Sala de 3 años""|NULL|""2"""
"""220044400""|""Sala de 4 años""|""Mañana""|""3"""
"""220044400""|""Sala de 4 años""|NULL|""3"""
"""220044700""|""Sala de 3 años""|""Mañana""|""17"""
"""220044700""|""Sala de 3 años""|NULL|""17"""
"""220044700""|""Sala de 4 años""|""Mañana""|""14"""
"""220044700""|""Sala de 4 años""|""Tarde""|""33"""
"""220044700""|""Sala de 4 años""|NULL|""47"""
"""220044700""|""Sala de 5 años""|""Mañana""|""36"""
"""220044700""|""Sala de 5 años""|""Tarde""|""16"""
"""220044700""|""Sala de 5 años""|NULL|""52"""
"""220044701""|""Sala de 4 años""|""Mañana""|""31"""
"""220044701""|""Sala de 4 años""|""Tarde""|""17"""
"""220044701""|""Sala de 4 años""|NULL|""48"""
"""220044701""|""Sala de 5 años""|""Mañana""|""16"""
"""220044701""|""Sala de 5 años""|""Tarde""|""30"""
"""220044701""|""Sala de 5 años""|NULL|""46"""
"""220044900""|""Sala de 4 años""|""Mañana""|""12"""
"""220044900""|""Sala de 4 años""|NULL|""12"""
"""220044900""|""Sala de 5 años""|""Mañana""|""8"""
"""220044900""|""Sala de 5 años""|NULL|""8"""
"""220045000""|""Sala de 4 años""|""Mañana""|""11"""
"""220045000""|""Sala de 4 años""|NULL|""11"""
"""220045000""|""Sala de 5 años""|""Mañana""|""5"""
"""220045000""|""Sala de 5 años""|NULL|""5"""
"""220045300""|""Sala de 3 años""|""Mañana""|""14"""
"""220045300""|""Sala de 3 años""|NULL|""14"""
"""220045300""|""Sala de 4 años""|""Mañana""|""48"""
"""220045300""|""Sala de 4 años""|NULL|""48"""
"""220045300""|""Sala de 5 años""|""Tarde""|""56"""
"""220045300""|""Sala de 5 años""|NULL|""56"""
"""220045800""|""Sala de 3 años""|""Doble""|""20"""
"""220045800""|""Sala de 3 años""|NULL|""20"""
"""220045800""|""Sala de 4 años""|""Doble""|""46"""
"""220045800""|""Sala de 4 años""|NULL|""46"""
"""220045800""|""Sala de 5 años""|""Doble""|""47"""
"""220045800""|""Sala de 5 años""|NULL|""47"""
"""220046100""|""Sala de 3 años""|""Mañana""|""8"""
"""220046100""|""Sala de 3 años""|NULL|""8"""
"""220046100""|""Sala de 4 años""|""Mañana""|""3"""
"""220046100""|""Sala de 4 años""|NULL|""3"""
"""220046100""|""Sala de 5 años""|""Mañana""|""7"""
"""220046100""|""Sala de 5 años""|NULL|""7"""
"""220046800""|""Sala de 3 años""|""Mañana""|""15"""
"""220046800""|""Sala de 3 años""|""Tarde""|""28"""
"""220046800""|""Sala de 3 años""|NULL|""43"""
"""220046800""|""Sala de 4 años""|""Mañana""|""43"""
"""220046800""|""Sala de 4 años""|""Tarde""|""36"""
"""220046800""|""Sala de 4 años""|NULL|""79"""
"""220046800""|""Sala de 5 años""|""Mañana""|""38"""
"""220046800""|""Sala de 5 años""|""Tarde""|""30"""
"""220046800""|""Sala de 5 años""|NULL|""68"""
"""220047100""|""Sala de 3 años""|""Mañana""|""20"""
"""220047100""|""Sala de 3 años""|""Tarde""|""20"""
"""220047100""|""Sala de 3 años""|NULL|""40"""
"""220047100""|""Sala de 4 años""|""Mañana""|""45"""
"""220047100""|""Sala de 4 años""|""Tarde""|""43"""
"""220047100""|""Sala de 4 años""|NULL|""88"""
"""220047100""|""Sala de 5 años""|""Mañana""|""41"""
"""220047100""|""Sala de 5 años""|""Tarde""|""31"""
"""220047100""|""Sala de 5 años""|NULL|""72"""
"""220047200""|""Sala de 4 años""|""Mañana""|""5"""
"""220047200""|""Sala de 4 años""|NULL|""5"""
"""220047200""|""Sala de 5 años""|""Mañana""|""8"""
"""220047200""|""Sala de 5 años""|NULL|""8"""
"""220047300""|""Sala de 3 años""|""Mañana""|""3"""
"""220047300""|""Sala de 3 años""|NULL|""3"""
"""220047300""|""Sala de 4 años""|""Mañana""|""2"""
"""220047300""|""Sala de 4 años""|NULL|""2"""
"""220047300""|""Sala de 5 años""|""Mañana""|""1"""
"""220047300""|""Sala de 5 años""|NULL|""1"""
"""220047500""|""Sala de 4 años""|""Mañana""|""25"""
"""220047500""|""Sala de 4 años""|""Tarde""|""25"""
"""220047500""|""Sala de 4 años""|NULL|""50"""
"""220047500""|""Sala de 5 años""|""Mañana""|""44"""
"""220047500""|""Sala de 5 años""|""Tarde""|""44"""
"""220047500""|""Sala de 5 años""|NULL|""88"""
"""220047501""|""Sala de 4 años""|""Mañana""|""25"""
"""220047501""|""Sala de 4 años""|""Tarde""|""25"""
"""220047501""|""Sala de 4 años""|NULL|""50"""
"""220047501""|""Sala de 5 años""|""Mañana""|""21"""
"""220047501""|""Sala de 5 años""|""Tarde""|""25"""
"""220047501""|""Sala de 5 años""|NULL|""46"""
"""220047502""|""Sala de 4 años""|""Mañana""|""1"""
"""220047502""|""Sala de 4 años""|NULL|""1"""
"""220047502""|""Sala de 5 años""|""Mañana""|""8"""
"""220047502""|""Sala de 5 años""|NULL|""8"""
"""220047700""|""Sala de 4 años""|""Mañana""|""8"""
"""220047700""|""Sala de 4 años""|NULL|""8"""
"""220047700""|""Sala de 5 años""|""Mañana""|""7"""
"""220047700""|""Sala de 5 años""|NULL|""7"""
"""220047900""|""Sala de 3 años""|""Doble""|""1"""
"""220047900""|""Sala de 3 años""|NULL|""1"""
"""220047900""|""Sala de 4 años""|""Doble""|""2"""
"""220047900""|""Sala de 4 años""|NULL|""2"""
"""220048400""|""Sala de 3 años""|""Doble""|""3"""
"""220048400""|""Sala de 3 años""|NULL|""3"""
"""220048400""|""Sala de 4 años""|""Doble""|""1"""
"""220048400""|""Sala de 4 años""|NULL|""1"""
"""220048400""|""Sala de 5 años""|""Doble""|""6"""
"""220048400""|""Sala de 5 años""|NULL|""6"""
"""220048600""|""Sala de 4 años""|""Mañana""|""1"""
"""220048600""|""Sala de 4 años""|NULL|""1"""
"""220048600""|""Sala de 5 años""|""Mañana""|""5"""
"""220048600""|""Sala de 5 años""|NULL|""5"""
"""220048700""|""Sala de 4 años""|""Doble""|""1"""
"""220048700""|""Sala de 4 años""|NULL|""1"""
"""220048700""|""Sala de 5 años""|""Doble""|""1"""
"""220048700""|""Sala de 5 años""|NULL|""1"""
"""220049100""|""Sala de 3 años""|""Mañana""|""4"""
"""220049100""|""Sala de 3 años""|NULL|""4"""
"""220049100""|""Sala de 4 años""|""Mañana""|""3"""
"""220049100""|""Sala de 4 años""|NULL|""3"""
"""220049100""|""Sala de 5 años""|""Mañana""|""6"""
"""220049100""|""Sala de 5 años""|NULL|""6"""
"""220049900""|""Sala de 4 años""|""Mañana""|""2"""
"""220049900""|""Sala de 4 años""|NULL|""2"""
"""220049900""|""Sala de 5 años""|""Mañana""|""3"""
"""220049900""|""Sala de 5 años""|NULL|""3"""
"""220050000""|""Sala de 4 años""|""Mañana""|""8"""
"""220050000""|""Sala de 4 años""|NULL|""8"""
"""220050000""|""Sala de 5 años""|""Mañana""|""11"""
"""220050000""|""Sala de 5 años""|NULL|""11"""
"""220050100""|""Sala de 3 años""|""Mañana""|""13"""
"""220050100""|""Sala de 3 años""|NULL|""13"""
"""220050100""|""Sala de 4 años""|""Mañana""|""12"""
"""220050100""|""Sala de 4 años""|NULL|""12"""
"""220050100""|""Sala de 5 años""|""Mañana""|""10"""
"""220050100""|""Sala de 5 años""|NULL|""10"""
"""220050900""|""Sala de 4 años""|""Mañana""|""4"""
"""220050900""|""Sala de 4 años""|NULL|""4"""
"""220050900""|""Sala de 5 años""|""Mañana""|""1"""
"""220050900""|""Sala de 5 años""|NULL|""1"""
"""220051000""|""Sala de 3 años""|""Mañana""|""4"""
"""220051000""|""Sala de 3 años""|NULL|""4"""
"""220051000""|""Sala de 4 años""|""Mañana""|""3"""
"""220051000""|""Sala de 4 años""|NULL|""3"""
"""220051100""|""Sala de 4 años""|""Mañana""|""18"""
"""220051100""|""Sala de 4 años""|""Tarde""|""18"""
"""220051100""|""Sala de 4 años""|NULL|""36"""
"""220051100""|""Sala de 5 años""|""Mañana""|""28"""
"""220051100""|""Sala de 5 años""|""Tarde""|""27"""
"""220051100""|""Sala de 5 años""|NULL|""55"""
"""220051101""|""Sala de 4 años""|""Mañana""|""12"""
"""220051101""|""Sala de 4 años""|NULL|""12"""
"""220051101""|""Sala de 5 años""|""Mañana""|""13"""
"""220051101""|""Sala de 5 años""|NULL|""13"""
"""220051102""|""Sala de 4 años""|""Tarde""|""11"""
"""220051102""|""Sala de 4 años""|NULL|""11"""
"""220051102""|""Sala de 5 años""|""Mañana""|""14"""
"""220051102""|""Sala de 5 años""|NULL|""14"""
"""220051103""|""Sala de 3 años""|""Mañana""|""3"""
"""220051103""|""Sala de 3 años""|NULL|""3"""
"""220051103""|""Sala de 4 años""|""Mañana""|""5"""
"""220051103""|""Sala de 4 años""|NULL|""5"""
"""220051103""|""Sala de 5 años""|""Mañana""|""8"""
"""220051103""|""Sala de 5 años""|NULL|""8"""
"""220051104""|""Sala de 4 años""|""Tarde""|""10"""
"""220051104""|""Sala de 4 años""|NULL|""10"""
"""220051104""|""Sala de 5 años""|""Mañana""|""16"""
"""220051104""|""Sala de 5 años""|NULL|""16"""
"""220051300""|""Sala de 4 años""|""Mañana""|""32"""
"""220051300""|""Sala de 4 años""|NULL|""32"""
"""220051300""|""Sala de 5 años""|""Mañana""|""31"""
"""220051300""|""Sala de 5 años""|NULL|""31"""
"""220051500""|""Sala de 4 años""|""Tarde""|""8"""
"""220051500""|""Sala de 4 años""|NULL|""8"""
"""220051500""|""Sala de 5 años""|""Tarde""|""7"""
"""220051500""|""Sala de 5 años""|NULL|""7"""
"""220051600""|""Sala de 4 años""|""Mañana""|""6"""
"""220051600""|""Sala de 4 años""|NULL|""6"""
"""220051600""|""Sala de 5 años""|""Mañana""|""6"""
"""220051600""|""Sala de 5 años""|NULL|""6"""
"""220051700""|""Sala de 3 años""|""Mañana""|""3"""
"""220051700""|""Sala de 3 años""|NULL|""3"""
"""220051700""|""Sala de 4 años""|""Mañana""|""3"""
"""220051700""|""Sala de 4 años""|NULL|""3"""
"""220051700""|""Sala de 5 años""|""Mañana""|""5"""
"""220051700""|""Sala de 5 años""|NULL|""5"""
"""220051900""|""Sala de 3 años""|""Mañana""|""3"""
"""220051900""|""Sala de 3 años""|NULL|""3"""
"""220051900""|""Sala de 4 años""|""Mañana""|""1"""
"""220051900""|""Sala de 4 años""|NULL|""1"""
"""220051900""|""Sala de 5 años""|""Mañana""|""2"""
"""220051900""|""Sala de 5 años""|NULL|""2"""
"""220052100""|""Sala de 4 años""|""Tarde""|""6"""
"""220052100""|""Sala de 4 años""|NULL|""6"""
"""220052100""|""Sala de 5 años""|""Tarde""|""7"""
"""220052100""|""Sala de 5 años""|NULL|""7"""
"""220052300""|""Sala de 3 años""|""Mañana""|""1"""
"""220052300""|""Sala de 3 años""|NULL|""1"""
"""220052300""|""Sala de 4 años""|""Mañana""|""1"""
"""220052300""|""Sala de 4 años""|NULL|""1"""
"""220052300""|""Sala de 5 años""|""Mañana""|""2"""
"""220052300""|""Sala de 5 años""|NULL|""2"""
"""220052400""|""Sala de 3 años""|""Mañana""|""3"""
"""220052400""|""Sala de 3 años""|NULL|""3"""
"""220052400""|""Sala de 4 años""|""Mañana""|""5"""
"""220052400""|""Sala de 4 años""|NULL|""5"""
"""220052400""|""Sala de 5 años""|""Mañana""|""4"""
"""220052400""|""Sala de 5 años""|NULL|""4"""
"""220052500""|""Sala de 3 años""|""Mañana""|""2"""
"""220052500""|""Sala de 3 años""|NULL|""2"""
"""220052500""|""Sala de 4 años""|""Mañana""|""1"""
"""220052500""|""Sala de 4 años""|NULL|""1"""
"""220052500""|""Sala de 5 años""|""Mañana""|""3"""
"""220052500""|""Sala de 5 años""|NULL|""3"""
"""220052800""|""Sala de 4 años""|""Mañana""|""4"""
"""220052800""|""Sala de 4 años""|NULL|""4"""
"""220052800""|""Sala de 5 años""|""Mañana""|""7"""
"""220052800""|""Sala de 5 años""|NULL|""7"""
"""220053000""|""Sala de 3 años""|""Mañana""|""1"""
"""220053000""|""Sala de 3 años""|NULL|""1"""
"""220053000""|""Sala de 4 años""|""Mañana""|""8"""
"""220053000""|""Sala de 4 años""|NULL|""8"""
"""220053000""|""Sala de 5 años""|""Mañana""|""16"""
"""220053000""|""Sala de 5 años""|NULL|""16"""
"""220053400""|""Sala de 3 años""|""Mañana""|""2"""
"""220053400""|""Sala de 3 años""|NULL|""2"""
"""220053400""|""Sala de 4 años""|""Mañana""|""4"""
"""220053400""|""Sala de 4 años""|NULL|""4"""
"""220053400""|""Sala de 5 años""|""Mañana""|""5"""
"""220053400""|""Sala de 5 años""|NULL|""5"""
"""220054600""|""Sala de 4 años""|""Mañana""|""15"""
"""220054600""|""Sala de 4 años""|NULL|""15"""
"""220054600""|""Sala de 5 años""|""Mañana""|""12"""
"""220054600""|""Sala de 5 años""|NULL|""12"""
"""220054900""|""Sala de 3 años""|""Mañana""|""2"""
"""220054900""|""Sala de 3 años""|NULL|""2"""
"""220054900""|""Sala de 4 años""|""Mañana""|""2"""
"""220054900""|""Sala de 4 años""|NULL|""2"""
"""220054900""|""Sala de 5 años""|""Mañana""|""1"""
"""220054900""|""Sala de 5 años""|NULL|""1"""
"""220055100""|""Sala de 3 años""|""Mañana""|""2"""
"""220055100""|""Sala de 3 años""|NULL|""2"""
"""220055100""|""Sala de 5 años""|""Mañana""|""1"""
"""220055100""|""Sala de 5 años""|NULL|""1"""
"""220055600""|""Sala de 4 años""|""Mañana""|""2"""
"""220055600""|""Sala de 4 años""|NULL|""2"""
"""220055600""|""Sala de 5 años""|""Mañana""|""3"""
"""220055600""|""Sala de 5 años""|NULL|""3"""
"""220056000""|""Sala de 3 años""|""Mañana""|""2"""
"""220056000""|""Sala de 3 años""|NULL|""2"""
"""220056000""|""Sala de 4 años""|""Mañana""|""4"""
"""220056000""|""Sala de 4 años""|NULL|""4"""
"""220056000""|""Sala de 5 años""|""Mañana""|""3"""
"""220056000""|""Sala de 5 años""|NULL|""3"""
"""220056100""|""Sala de 5 años""|""Mañana""|""2"""
"""220056100""|""Sala de 5 años""|NULL|""2"""
"""220056200""|""Sala de 3 años""|""Mañana""|""2"""
"""220056200""|""Sala de 3 años""|NULL|""2"""
"""220056200""|""Sala de 4 años""|""Mañana""|""2"""
"""220056200""|""Sala de 4 años""|NULL|""2"""
"""220056200""|""Sala de 5 años""|""Mañana""|""11"""
"""220056200""|""Sala de 5 años""|NULL|""11"""
"""220056500""|""Sala de 3 años""|""Tarde""|""3"""
"""220056500""|""Sala de 3 años""|NULL|""3"""
"""220056500""|""Sala de 4 años""|""Tarde""|""2"""
"""220056500""|""Sala de 4 años""|NULL|""2"""
"""220056500""|""Sala de 5 años""|""Tarde""|""5"""
"""220056500""|""Sala de 5 años""|NULL|""5"""
"""220057000""|""Sala de 3 años""|""Mañana""|""1"""
"""220057000""|""Sala de 3 años""|NULL|""1"""
"""220057000""|""Sala de 4 años""|""Mañana""|""5"""
"""220057000""|""Sala de 4 años""|NULL|""5"""
"""220057000""|""Sala de 5 años""|""Mañana""|""3"""
"""220057000""|""Sala de 5 años""|NULL|""3"""
"""220057200""|""Sala de 3 años""|""Mañana""|""15"""
"""220057200""|""Sala de 3 años""|""Tarde""|""14"""
"""220057200""|""Sala de 3 años""|NULL|""29"""
"""220057200""|""Sala de 4 años""|""Mañana""|""10"""
"""220057200""|""Sala de 4 años""|""Tarde""|""17"""
"""220057200""|""Sala de 4 años""|NULL|""27"""
"""220057200""|""Sala de 5 años""|""Mañana""|""3"""
"""220057200""|""Sala de 5 años""|""Tarde""|""17"""
"""220057200""|""Sala de 5 años""|NULL|""20"""
"""220057500""|""Sala de 3 años""|""Mañana""|""5"""
"""220057500""|""Sala de 3 años""|NULL|""5"""
"""220057500""|""Sala de 4 años""|""Mañana""|""8"""
"""220057500""|""Sala de 4 años""|NULL|""8"""
"""220057500""|""Sala de 5 años""|""Mañana""|""3"""
"""220057500""|""Sala de 5 años""|NULL|""3"""
"""220057900""|""Sala de 3 años""|""Mañana""|""12"""
"""220057900""|""Sala de 3 años""|""Tarde""|""13"""
"""220057900""|""Sala de 3 años""|NULL|""25"""
"""220057900""|""Sala de 4 años""|""Mañana""|""20"""
"""220057900""|""Sala de 4 años""|""Tarde""|""28"""
"""220057900""|""Sala de 4 años""|NULL|""48"""
"""220057900""|""Sala de 5 años""|""Mañana""|""16"""
"""220057900""|""Sala de 5 años""|""Tarde""|""18"""
"""220057900""|""Sala de 5 años""|NULL|""34"""
"""220057902""|""Sala de 4 años""|""Tarde""|""4"""
"""220057902""|""Sala de 4 años""|NULL|""4"""
"""220057902""|""Sala de 5 años""|""Tarde""|""4"""
"""220057902""|""Sala de 5 años""|NULL|""4"""
"""220057904""|""Sala de 3 años""|""Mañana""|""9"""
"""220057904""|""Sala de 3 años""|NULL|""9"""
"""220057904""|""Sala de 4 años""|""Mañana""|""17"""
"""220057904""|""Sala de 4 años""|NULL|""17"""
"""220057904""|""Sala de 5 años""|""Mañana""|""11"""
"""220057904""|""Sala de 5 años""|NULL|""11"""
"""220058000""|""Sala de 4 años""|""Mañana""|""4"""
"""220058000""|""Sala de 4 años""|NULL|""4"""
"""220058000""|""Sala de 5 años""|""Mañana""|""15"""
"""220058000""|""Sala de 5 años""|NULL|""15"""
"""220058300""|""Sala de 3 años""|""Mañana""|""3"""
"""220058300""|""Sala de 3 años""|NULL|""3"""
"""220058300""|""Sala de 4 años""|""Mañana""|""5"""
"""220058300""|""Sala de 4 años""|NULL|""5"""
"""220058300""|""Sala de 5 años""|""Mañana""|""5"""
"""220058300""|""Sala de 5 años""|NULL|""5"""
"""220058400""|""Sala de 3 años""|""Doble""|""3"""
"""220058400""|""Sala de 3 años""|NULL|""3"""
"""220058400""|""Sala de 4 años""|""Doble""|""5"""
"""220058400""|""Sala de 4 años""|NULL|""5"""
"""220058400""|""Sala de 5 años""|""Doble""|""6"""
"""220058400""|""Sala de 5 años""|NULL|""6"""
"""220058600""|""Sala de 3 años""|""Mañana""|""2"""
"""220058600""|""Sala de 3 años""|NULL|""2"""
"""220058600""|""Sala de 5 años""|""Mañana""|""4"""
"""220058600""|""Sala de 5 años""|NULL|""4"""
"""220059000""|""Sala de 4 años""|""Mañana""|""9"""
"""220059000""|""Sala de 4 años""|NULL|""9"""
"""220059000""|""Sala de 5 años""|""Mañana""|""7"""
"""220059000""|""Sala de 5 años""|NULL|""7"""
"""220059100""|""Sala de 3 años""|""Mañana""|""2"""
"""220059100""|""Sala de 3 años""|NULL|""2"""
"""220059100""|""Sala de 4 años""|""Mañana""|""1"""
"""220059100""|""Sala de 4 años""|NULL|""1"""
"""220059100""|""Sala de 5 años""|""Mañana""|""1"""
"""220059100""|""Sala de 5 años""|NULL|""1"""
"""220060300""|""Sala de 3 años""|""Tarde""|""13"""
"""220060300""|""Sala de 3 años""|NULL|""13"""
"""220060300""|""Sala de 4 años""|""Mañana""|""6"""
"""220060300""|""Sala de 4 años""|""Tarde""|""30"""
"""220060300""|""Sala de 4 años""|NULL|""36"""
"""220060300""|""Sala de 5 años""|""Mañana""|""41"""
"""220060300""|""Sala de 5 años""|NULL|""41"""
"""220060301""|""Sala de 4 años""|""Mañana""|""1"""
"""220060301""|""Sala de 4 años""|NULL|""1"""
"""220060302""|""Sala de 3 años""|""Mañana""|""3"""
"""220060302""|""Sala de 3 años""|NULL|""3"""
"""220060302""|""Sala de 4 años""|""Mañana""|""5"""
"""220060302""|""Sala de 4 años""|NULL|""5"""
"""220060302""|""Sala de 5 años""|""Mañana""|""5"""
"""220060302""|""Sala de 5 años""|NULL|""5"""
"""220060303""|""Sala de 3 años""|""Mañana""|""1"""
"""220060303""|""Sala de 3 años""|NULL|""1"""
"""220060303""|""Sala de 5 años""|""Mañana""|""2"""
"""220060303""|""Sala de 5 años""|NULL|""2"""
"""220060304""|""Sala de 4 años""|""Mañana""|""9"""
"""220060304""|""Sala de 4 años""|NULL|""9"""
"""220060304""|""Sala de 5 años""|""Mañana""|""5"""
"""220060304""|""Sala de 5 años""|NULL|""5"""
"""220060305""|""Sala de 3 años""|""Mañana""|""1"""
"""220060305""|""Sala de 3 años""|NULL|""1"""
"""220060305""|""Sala de 4 años""|""Mañana""|""1"""
"""220060305""|""Sala de 4 años""|NULL|""1"""
"""220060305""|""Sala de 5 años""|""Mañana""|""3"""
"""220060305""|""Sala de 5 años""|NULL|""3"""
"""220060600""|""Sala de 5 años""|""Mañana""|""20"""
"""220060600""|""Sala de 5 años""|NULL|""20"""
"""220061500""|""Sala de 4 años""|""Mañana""|""41"""
"""220061500""|""Sala de 4 años""|""Tarde""|""42"""
"""220061500""|""Sala de 4 años""|NULL|""83"""
"""220061500""|""Sala de 5 años""|""Mañana""|""42"""
"""220061500""|""Sala de 5 años""|""Tarde""|""39"""
"""220061500""|""Sala de 5 años""|NULL|""81"""
"""220061700""|""Sala de 3 años""|""Mañana""|""3"""
"""220061700""|""Sala de 3 años""|NULL|""3"""
"""220061700""|""Sala de 4 años""|""Mañana""|""2"""
"""220061700""|""Sala de 4 años""|NULL|""2"""
"""220061800""|""Sala de 3 años""|""Mañana""|""2"""
"""220061800""|""Sala de 3 años""|NULL|""2"""
"""220061800""|""Sala de 4 años""|""Mañana""|""2"""
"""220061800""|""Sala de 4 años""|NULL|""2"""
"""220061800""|""Sala de 5 años""|""Mañana""|""4"""
"""220061800""|""Sala de 5 años""|NULL|""4"""
"""220062000""|""Sala de 4 años""|""Mañana""|""42"""
"""220062000""|""Sala de 4 años""|""Tarde""|""59"""
"""220062000""|""Sala de 4 años""|NULL|""101"""
"""220062000""|""Sala de 5 años""|""Mañana""|""74"""
"""220062000""|""Sala de 5 años""|""Tarde""|""53"""
"""220062000""|""Sala de 5 años""|NULL|""127"""
