"codigo"|"calles"|"long"|"lat"|"empresa"|"orden"|"distan_paradas"|"lineas"|"Unnamed: 8"
"C01553"|"San Martin y Salta"|"-59.044130000000003"|"-27.40717"|"Línea 205 Fontana - Resistencia VUELTA"|"4"|"181.0"|"Línea 205 "|""
"C02260"|"AV. MAC LEAN"|"-59.011960000000002"|"-27.44801"|"Línea 8 D  Asentamiento 29 de Agosto - Barrio UOM IDA"|"11"|"339.0"|"Línea 8 D "|""
"C01554"|"San Martin y Santa Fe"|"-59.044989999999999"|"-27.40793"|"Línea 205 Fontana - Resistencia VUELTA"|"5"|"120.0"|"Línea 205 "|""
"C01555"|"San Martin 900"|"-59.047680000000000"|"-27.41033"|"Línea 205 Fontana - Resistencia VUELTA"|"7"|"131.0"|"Línea 205 "|""
"C01556"|"Av Moreno y San Martin"|"-59.048879999999997"|"-27.41141"|"Línea 205 Fontana - Resistencia VUELTA"|"8"|"169.0"|"Línea 205 "|""
"C02261"|"AV. MAC LEAN Y LOS ANDES"|"-59.010170000000002"|"-27.44685"|"Línea 8 D  Asentamiento 29 de Agosto - Barrio UOM IDA"|"12"|"249.0"|"Línea 8 D "|""
"C01557"|"Av Alvear y San Luis"|"-59.049340000000001"|"-27.41302"|"Línea 205 Fontana - Resistencia VUELTA"|"9"|"226.0"|"Línea 205 "|""
"C01558"|"Av Alvear y Estación de Tren Cacuí"|"-59.044980000000002"|"-27.41498"|"Línea 205 Fontana - Resistencia VUELTA"|"10"|"477.0"|"Línea 205 "|""
"C01559"|"Av Alvear y Brasil"|"-59.040660000000003"|"-27.41685"|"Línea 205 Fontana - Resistencia VUELTA"|"11"|"475.0"|"Línea 205 "|""
"C01560"|"Av Alvear y Agusto Rey"|"-59.037900000000000"|"-27.41849"|"Línea 205 Fontana - Resistencia VUELTA"|"12"|"336.0"|"Línea 205 "|""
"C02262"|"AV. ALVEAR Y MISIONERO KLEIN"|"-59.005510000000001"|"-27.44714"|"Línea 104 Barrio Jorge Newbery - Barrio 200 Viviendas (Barranqueras)  IDA"|"17"|"127.0"|"Línea 104 "|""
"C01561"|"Av Alvear y Av. Sarmiento"|"-59.035069999999997"|"-27.42096"|"Línea  207 Fontana - Barranqueras VUELTA"|"9"|"413.0"|"Línea  207 "|""
"C01562"|"Av Alvear y Timbo"|"-59.032319999999999"|"-27.42342"|"Línea  207 Fontana - Barranqueras VUELTA"|"10"|"386.0"|"Línea  207 "|""
"C01563"|"Av Alvear y Av Guemes"|"-59.030659999999997"|"-27.42483"|"Línea  207 Fontana - Barranqueras VUELTA"|"11"|"227.0"|"Línea  207 "|""
"C01564"|"Av Alvear y Bahía Blanca"|"-59.028950000000002"|"-27.42635"|"Línea  207 Fontana - Barranqueras VUELTA"|"12"|"239.0"|"Línea  207 "|""
"C01565"|"Av Alvear y Neuquen"|"-59.027230000000003"|"-27.42796"|"Línea  207 Fontana - Barranqueras VUELTA"|"13"|"247.0"|"Línea  207 "|""
"C00577"|"GDOR FELIPE BITTEL Y LA CONGAYE"|"-58.967059999999996"|"-27.41536"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"23"|"138.0"|"Línea 9 B "|""
"C01566"|"Av Alvear y Almte Brown"|"-59.025509999999997"|"-27.42951"|"Línea  207 Fontana - Barranqueras VUELTA"|"14"|"242.0"|"Línea  207 "|""
"C01567"|"Av Alvear y Mar del Plata"|"-59.021400000000000"|"-27.43314"|"Línea  207 Fontana - Barranqueras VUELTA"|"16"|"300.0"|"Línea  207 "|""
"C00578"|"GDOR FELIPE BITTEL CONCEPCION DEL BERMEJO"|"-58.965240000000001"|"-27.41632"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"24"|"208.0"|"Línea 9 B "|""
"C01568"|"Av Alvear y Sierras de Cordoba"|"-59.019060000000003"|"-27.4352"|"Línea  207 Fontana - Barranqueras VUELTA"|"17"|"325.0"|"Línea  207 "|""
"C01569"|"Av Alvear y Islas del Cerrito"|"-59.017139999999998"|"-27.4369"|"Línea  207 Fontana - Barranqueras VUELTA"|"18"|"268.0"|"Línea  207 "|""
"C01570"|"Av Alvear y Campias"|"-59.013330000000003"|"-27.44018"|"Línea 205 Fontana - Resistencia VUELTA"|"24"|"350.0"|"Línea 205 "|""
"C00579"|"AV SABIN Y GDOR FLORENCIO TENEV"|"-58.969499999999996"|"-27.41598"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"25"|"663.0"|"Línea 9 B "|""
"C01571"|"Av Alvear y Club Sarmiento"|"-59.010649999999998"|"-27.44254"|"Línea 205 Fontana - Resistencia VUELTA"|"25"|"373.0"|"Línea 205 "|""
"C01572"|"Av Alvear y Av Mac Lean"|"-59.008229999999998"|"-27.44469"|"Línea 205 Fontana - Resistencia VUELTA"|"26"|"338.0"|"Línea 205 "|""
"C00226"|"AV. 25 DE MAYO Y CACIQUE PELAYO"|"-59.014339999999997"|"-27.42663"|"Línea 204 Fontana - Barranqueras VUELTA"|"14"|"166.0"|"Línea 204 "|""
"C01573"|"Av Alvear y Fray Rossi"|"-59.007210000000001"|"-27.44559"|"Línea 205 Fontana - Resistencia VUELTA"|"27"|"142.0"|"Línea 205 "|""
"C02265"|"AV. ALBERDI Y FRANKLIN"|"-58.991790000000002"|"-27.456"|"Línea 9 B Villa Don Andrés -  Hipermercado Libertad IDA"|"28"|"264.0"|"Línea 9 B "|""
"C01574"|"Av Alvear y Misionero Klein"|"-59.005479999999999"|"-27.44719"|"Línea 205 Fontana - Resistencia VUELTA"|"28"|"247.0"|"Línea 205 "|""
"C00227"|"AV. 25 DE MAYO Y RN11"|"-59.010869999999997"|"-27.42977"|"Línea 204 Fontana - Barranqueras VUELTA"|"15"|"503.0"|"Línea 204 "|""
